question_group_name,question_group_question,question_code,question_label,question,question_type,values,chart_type,dc_class
N/A,N/A,CC24_300b_4,Media networks - CNN,Which of these networks did you watch?,Demo,"{'1': 'selected', '2': 'not selected', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,CC24_300b_5,Media networks - Fox News,Which of these networks did you watch?,Demo,"{'1': 'selected', '2': 'not selected', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,CC24_300b_6,Media networks - MSNBC,Which of these networks did you watch?,Demo,"{'1': 'selected', '2': 'not selected', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,CC24_309e,General health,Would you say that in general your health is...,Demo,"{'1': 'Excellent', '2': 'Very good', '3': 'Good', '4': 'Fair', '5': 'Poor', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,educ,Education,What is the highest level of education you have completed?,Demo,"{'1': 'No HS', '2': 'High school graduate', '3': 'Some college', '4': '2-year', '5': '4-year', '6': 'Post-grad', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,gender4,Gender,What is your gender?,Demo,"{'1': 'Man', '2': 'Woman', '3': 'Non-binary', '4': 'Other', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,hispanic,Hispanic,"Are you of Spanish, Latino, or Hispanic origin or descent?",Demo,"{'1': 'Yes', '2': 'No', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,inputstate,State of Residence,What is your State of Residence?,Demo,"{'1': 'Alabama', '2': 'Alaska', '4': 'Arizona', '5': 'Arkansas', '6': 'California', '8': 'Colorado', '9': 'Connecticut', '10': 'Delaware', '11': 'District of Columbia', '12': 'Florida', '13': 'Georgia', '15': 'Hawaii', '16': 'Idaho', '17': 'Illinois', '18': 'Indiana', '19': 'Iowa', '20': 'Kansas', '21': 'Kentucky', '22': 'Louisiana', '23': 'Maine', '24': 'Maryland', '25': 'Massachusetts', '26': 'Michigan', '27': 'Minnesota', '28': 'Mississippi', '29': 'Missouri', '30': 'Montana', '31': 'Nebraska', '32': 'Nevada', '33': 'New Hampshire', '34': 'New Jersey', '35': 'New Mexico', '36': 'New York', '37': 'North Carolina', '38': 'North Dakota', '39': 'Ohio', '40': 'Oklahoma', '41': 'Oregon', '42': 'Pennsylvania', '44': 'Rhode Island', '45': 'South Carolina', '46': 'South Dakota', '47': 'Tennessee', '48': 'Texas', '49': 'Utah', '50': 'Vermont', '51': 'Virginia', '53': 'Washington', '54': 'West Virginia', '55': 'Wisconsin', '56': 'Wyoming', '98': 'skipped', '99': 'not asked'}",,
N/A,N/A,pid3,3 point party ID,"Generally speaking, do you think of yourself as a ...?",Demo,"{'1': 'Democrat', '2': 'Republican', '3': 'Independent', '4': 'Other', '5': 'Not sure', '8': 'skipped', '9': 'not asked'}",,
N/A,N/A,pid7,7 point Party ID,"Generally speaking, do you think of yourself as a ... ?",Demo,"{'1': 'Strong Democrat', '2': 'Not very strong Democrat', '3': 'Lean Democrat', '4': 'Independent', '5': 'Lean Republican', '6': 'Not very strong Republican', '7': 'Strong Republican', '8': 'Not sure', '9': ""Don't know"", '98': 'skipped', '99': 'not asked'}",,
