caseid,commonweight,birthyr,gender4,educ,race,hispanic,votereg,pid3,pid7,inputstate,CC24_300b_4,CC24_300b_5,CC24_300b_6,CC24_309e,CC24_311a,CC24_311b,CC24_310a,CC24_310b,CC24_310c,CC24_321a,CC24_311c,CC24_311d,CC24_312a,CC24_312b,CC24_312c,CC24_312d,CC24_312e,CC24_312f,CC24_321b,CC24_321c,CC24_321d,CC24_330a,CC24_330b,CC24_330c,CC24_330d,CC24_340a,CC24_340b,CC24_340c,CC24_340d,CC24_340e,CC24_340f,CC24_341a,CC24_341b,CC24_341c,CC24_341d,CC24_416a,CC24_416b,CC24_416c,CC24_440a,CC24_440b,CC24_440c,CC24_440d,CC24_441a,CC24_441b
1853651564,0.4188969985180613,1978,Woman,High school graduate,Black,No,Yes,Democrat,Strong Democrat,Pennsylvania,,,,Excellent,Democrat,Democrat,Not sure,Not sure,Democrats,Support,Democrat,Democrat,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Oppose,Support,Oppose,Middle of the Road,Middle of the Road,Middle of the Road,Middle of the Road,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,White,Other,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1852716424,0.1943034723554932,1946,Woman,2-year,White,No,Yes,Independent,Lean Democrat,Pennsylvania,selected,not selected,selected,Very good,Democrat,Democrat,Republicans,Democrats,Republicans,Support,Democrat,Republican,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Oppose,Support,Oppose,Very Liberal,Middle of the Road,Somewhat Liberal,Somewhat Liberal,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,White,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1853656212,0.7545097699043234,1956,Woman,Post-grad,Black,No,Yes,Democrat,Strong Democrat,Virginia,not selected,not selected,selected,Very good,Republican,Democrat,Democrats,Republicans,Not sure,Support,Democrat,Democrat,Strongly approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Not sure,Not sure,Oppose,Support,Support,Liberal,Conservative,Liberal,Liberal,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,White,White,,,Strongly agree,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
1854067818,2.260098459774428,1981,Woman,High school graduate,White,No,No,Republican,Not very strong Republican,Pennsylvania,,,,Poor,Democrat,Not sure,Not sure,Not sure,Democrats,Support,Democrat,Not sure,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Not sure,Not sure,Support,Support,Oppose,Middle of the Road,Not sure,Not sure,Not sure,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Not sure,Not sure,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
1854069640,0.0635578346158479,1973,Woman,High school graduate,White,No,Yes,Democrat,Strong Democrat,Pennsylvania,,,,Good,Democrat,Democrat,Republicans,Democrats,Republicans,Support,Democrat,Republican,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly disapprove,Oppose,Support,Oppose,Liberal,Somewhat Liberal,Middle of the Road,Somewhat Liberal,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,White,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1854069814,0.4362518696987747,1974,Man,Some college,Black,No,Yes,Democrat,Strong Democrat,Alabama,,,,Very good,Republican,Republican,Republicans,Democrats,Republicans,Support,Republican,Republican,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Oppose,Support,Oppose,Liberal,Very Conservative,Liberal,Liberal,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Black,White,White,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree
1854098608,1.212519956291882,1987,Man,Post-grad,Hispanic,Yes,Don't know,Not sure,Independent,Virginia,,,,Very good,Republican,Not sure,Republicans,Democrats,Not sure,Support,Not sure,Not sure,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Not sure,Not sure,Support,Support,Support,Middle of the Road,Conservative,Somewhat Conservative,Somewhat Liberal,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,,,,,,,,,
1853846670,2.548191946605249,1982,Man,Some college,White,No,Yes,Democrat,Not very strong Democrat,Pennsylvania,,,,Good,Democrat,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Republican,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Oppose,Support,Oppose,Somewhat Liberal,Somewhat Liberal,Middle of the Road,Somewhat Liberal,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,White,White,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
1855956686,0.05812915234553031,2000,Woman,4-year,Asian,No,Yes,Democrat,Not very strong Democrat,Virginia,not selected,not selected,not selected,Excellent,Republican,Democrat,Republicans,Not sure,Not sure,Support,Not sure,Not sure,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Not sure,Somewhat disapprove,Somewhat disapprove,Oppose,Support,Support,Middle of the Road,Conservative,Somewhat Conservative,Somewhat Liberal,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,,,,,,,,,
1854032436,4.545322774263206,1950,Man,High school graduate,Black,No,Yes,Democrat,Strong Democrat,Alabama,,,,Fair,Republican,Republican,Republicans,Democrats,Republicans,Support,Republican,Democrat,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Oppose,Support,Support,Middle of the Road,Very Conservative,Liberal,Liberal,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Black,White,,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
